date,startup,vertical,subvertical,city,investors,round,amount
03-04-2015,Swiggy,Online Food Delivery,,Bengaluru,"Accel Partners, SAIF Partners",Private Equity,16.4
04-04-2015,Bluegape,Web Content Publishing,,Gurgaon,"Rudy Gopalakrishnan, ah! Ventures",Seed Funding,1.64
06-04-2015,InstaLively,Video Streaming,,New Delhi,"Rajesh Sawheny , Rajan Anandan, Amit Ranjan, Niraj Singh, AECAL, MeraEvents.",Seed Funding,0.98
07-04-2015,Pricejugaad,Price Comparison,,Hyderabad,"Amit Tyagi, Sandeep Acharya & others",Seed Funding,1.35
07-04-2015,Quikr,Online Classifieds,,Mumbai,"Tiger Global, Investment AB Kinnevik, Steadview Capital",Private Equity,1229.85
07-04-2015,PressPlay,Travel Entertainment,,New Delhi,"Sequoia Capital, Jason Hirschhorn, Jarett Posner, and Amit Bhatiani",Seed Funding,18.04
08-04-2015,FirstCry.com,E-Commerce,,Pune,"Silicon Valley Ventures, NEA Ventures, Valiant Capital, IDG Ventures India, SAIF Partners, Vertex Ventures",Private Equity,81.99
08-04-2015,MobiKwik,"Digital , Mobile Wallet",,Gurgaon,"Tree Line Asia, Cisco Investments, American Express, Sequoia Capital",Private Equity,204.97
08-04-2015,Olacabs,Cab Aggregator,,Bengaluru,"DST Global, Steadview Capital, Tiger Global, Accel Partners & Others",Private Equity,3279.6
09-04-2015,Gadgetwood,Device Repair Svcs,,New Delhi,"Ajai Chowdhry, Ashvin Chadha, Yogesh Bansal,Nitin Singhal & Others",Seed Funding,1.64
09-04-2015,Bonhomia,Premium Beverages,,New Delhi,"Kanwaljit Singh, Shripad Nadkarni, Sarvesh Shahra & Others",Seed Funding,16.4
09-04-2015,Changer Mints,"Digital , Mobile Wallet",,Kolkata,Hyderabad based investor,Seed Funding,1.35
09-04-2015,Urban Ladder,Online Furnishing  E-Commerce,,Bengaluru,"Sequoia Capital, TR Capital, Steadview Capital, SAIF Partners, Kalaari Capital",Private Equity,409.95
10-04-2015,Whatfix,Interactive How-To Guides,,Bengaluru,"Helion Venture Partner, Powerhouse Ventures, GSF and Other angel investors",Seed Funding,7.38
11-04-2015,Zomato,Restaurant Reviews,,Gurgaon,Info Edge (India),Private Equity,204.97
13-04-2015,ZopNow,Online Grocer,,Bengaluru,"Dragoneer Investment, Accel Partners, Qualcomm Ventures, Times Internet",Private Equity,81.99
13-04-2015,Nayi Disha,Ed-Tech,,New Delhi,"Ajay Relan,",Seed Funding,2.46
13-04-2015,The Porter,Logistics Tech,,Mumbai,Kae Capital,Seed Funding,4.1
13-04-2015,Commeasure,Online Hotel Booking,,Noida,Jungle Ventures,Seed Funding,8.2
13-04-2015,Capricoast,Online Kitchen Furniture,,Bengaluru,Accel Partners India,Seed Funding,10.25
14-04-2015,LocalOye,Hyper-local Online Services,,Mumbai,"Tiger Global Management, Lightspeed Venture Partners",Private Equity,41
15-04-2015,Grofers,"Hyper-Local Online, Mobile Grocery",,Gurgaon,"Tiger Global, Sequoia Capital",Private Equity,286.96
15-04-2015,PepperTap,"Hyper-Local Online, Mobile Grocery",,Gurgaon,"SAIF Partners, Sequoia Capital",Private Equity,81.99
15-04-2015,PolicyBazaar,Online Policy Aggregator,,Gurgaon,"PremjiInvest, Tiger Global, Ribbit Capital",Private Equity,327.96
16-04-2015,UrbanClap,Hyperlocal Mobile Services Marketplace,,New Delhi,"SAIF Partners, Accel Partners, Kunal Bahl, Rohit Bansal",Seed Funding,13.12
16-04-2015,Taskbob,OnDemand Mobile Handyman Services,,Mumbai,"Orios Venture Partners, Mayfield India",Seed Funding,9.84
17-04-2015,Robosoft,Mobile App Development,,Udupi,"Ascent Capital, Kalaari Capital",Private Equity,98.39
20-04-2015,Pastiwala,Material Collection & Recycling,,Vadodara,Agnus Capital,Private Equity,32.8
20-04-2015,1mg,Online Pharmacy & Drug DB,,Gurgaon,"Deep Kalra, Sequoia Capital, Omidyar Network, Intel Capital & Kae Capital",Private Equity,49.19
20-04-2015,Freshdesk,Online / Mobile Customer Support,,Chennai,"Tiger Global, Google Capital & Accel Partners",Private Equity,409.95
20-04-2015,Sulekha.com,Online Classifieds & Listings,,Chennai,GIC ventures,Private Equity,229.57
22-04-2015,Eat.Shop.Love,Fashion E-Commerce,,Bengaluru,Undisclosed Investor,Private Equity,28.7
22-04-2015,Avanti Learning,Private Coaching Centers,,New Delhi,"Michael & SUSn Dell Foundation, Pearson Learning Fund",Private Equity,12.3
23-04-2015,Simplilearn,Online Certification Courses,,Bengaluru,"Mayfield Ventures, Kalaari Capital, Helion Ventures",Private Equity,122.98
23-04-2015,Craftstvilla,Ethnic Product E-Commerce,,Mumbai,"Sequoia Capital, Nexus venture Partners, Lightspeed Ventures, GFC",Private Equity,147.58
23-04-2015,HeadOut,Last Minute Travel Deals mobile marketplace,,Bengaluru / SFO,"Version One Ventures, 500 Startups, Nexus Venture Partners and Arena Ventures",Seed Funding,14.76
23-04-2015,happay,usiness expense management,,Bengaluru,AngelPrime,Seed Funding,4.1
23-04-2015,Jugnoo,Auto Rickshaw based Logistics,,Chandigarh,"Rakesh Mathur, Vikas Taneja & others",Seed Funding,8.2
24-04-2015,Coverfox,Online Insurance Aggregator,,Mumbai,"Accel US, Accel India, SAIF Partners.",Private Equity,98.39
27-04-2015,Torqus,Restaurant Management Platform,,Pune,S S Mukherji & Others,Seed Funding,2.87
27-04-2015,LogicRoots,Interactive Educational Games,,Jaipur,"Ah! Ventures, Calcutta Angels, 91SpringBoard",Seed Funding,3.28
28-04-2015,Babajobs,Grey collar Job Board,,Bengaluru,SEEK Ltd & affiliates,Private Equity,81.99
28-04-2015,Jay Robotix,Robotic Program learning,,Hyderabad,Cross Border Angels & others,Seed Funding,2.05
28-04-2015,Naaptol.com,Tele-Shopping / E-Commerce,,Mumbai,Mitsui & Co & existing investors,Private Equity,176.28
29-04-2015,ReGlobe,Used Gadgets Buy / Refurbishing,,Gurgaon,"Bessemer Ventures, Blume Ventures",Seed Funding,8.2
29-04-2015,Icertis,Cloud Enterprise Software,,Pune / US,"Greycroft Partners, Fidelity Growth Partners",Private Equity,49.19
29-04-2015,Tracxn,Startup Analytics platform,,Bengaluru,SAIF Partners,Private Equity,28.7
29-04-2015,Tradelab,Financial Markets Software,,Bengaluru,Rainmatter,Seed Funding,3.28
29-04-2015,PiQube,Hiring Analytics platform,,Chennai,The HR Fund,Seed Funding,4.1
29-04-2015,Travel Triangle,Online Travel Marketplace,,Noida,"Bessemer Venture Partners, SAIF Partners",Private Equity,65.59
01-05-2015,Foodpanda,Online Food Delivery,,Gurgaon,"Goldman Sachs, Rocket Internet",Private Equity,819.9
01-05-2015,Termsheet,Fund Raising Platform,,Chennai,"Anand Vijay, Nipun Dureja, Satyajit Heeralal, Keith Rodricks, Gaurav Lochan, Azmul Haque, Nikhil Bagri",Seed Funding,0.82
04-05-2015,Applicate,Workforce Management Software,,Bengaluru,"Rishi Vasudev, Amit Gupta, Rajiv Nayan",Seed Funding,4.51
04-05-2015,World Art Community,Online Art Marketplace,,Gurgaon,Viraj Tyagi & others,Seed Funding,1.64
04-05-2015,SpoonJoy,Online Food Delivery,,Bengaluru,SAIF Partners,Seed Funding,8.2
05-05-2015,Seed Schools,Affordable Education,,Hyderabad,Acumen Fund,Seed Funding,5.33
05-05-2015,Ignis Careers,Career Development,,Hyderabad,Acumen Fund,Seed Funding,2.05
05-05-2015,Square Yards,Real Estate Advisory,,Gurgaon,Undisclosed Investors,Private Equity,49.19
05-05-2015,Fintellix,Banking Analytics Platform,,Bengaluru,"IDG Ventures, Sequoia Capital",Private Equity,122.98
06-05-2015,Delhivery,E-Commerce Logistics,,Gurgaon,"Tiger Global Management, Multiples Alternate Asset Management, Nexus Venture Partners, Times Internet",Private Equity,696.92
06-05-2015,Swiggy,Online Food Delivery,,Bengaluru,Norwest Venture Partners,Private Equity,122.98
07-05-2015,Box8,Online Food Delivery,,Mumbai,Mayfield Ventures,Private Equity,28.7
07-05-2015,Toppr,Online Education Platform,,Mumbai,"Fidelity Growth Partners India, SAIF Partners, Helion Ventures",Private Equity,81.99
07-05-2015,Vedantu,Online Education Platform,,Bengaluru,"Accel Partners, Tiger Global Management",Private Equity,41
08-05-2015,BuyHatke,Online Product Comparison,,Bengaluru,"S.Gopalakrishnan, Beenos",Seed Funding,8.2
08-05-2015,Uniken,Online Security Platform,,Pune,Exfinity Ventures,Private Equity,16.4
08-05-2015,GrandOpinion,Online Medical Diagnostic,,New Delhi,Florida based Angel investor,Seed Funding,1.23
12-05-2015,ZapStitch,Cloud Data Integration Platform,,Bengaluru,"Helion Venture Partners, Orios Venture Partners",Private Equity,16.4
12-05-2015,Wassup,Mobile Laundry Cleaning Service,,Chennai,"Arun Chandra Mohan, Praveen Sinha",Private Equity,16.4
12-05-2015,Plancess,Online Education Platform,,Mumbai,"Rajendra Gogri, Chandrakant Gogri",Seed Funding,16.4
14-05-2015,IndianRoots.com,Lifestyle E-Commerce Portal,,Gurgaon,KJS Group,Private Equity,41
14-05-2015,RedPolka,Online Fashion Aggregator,,Mumbai,Undisclosed Investors,Seed Funding,2.05
15-05-2015,Venturesity,Online Job skills Showcase,,Bengaluru,"Phanindra Sama, Jay Sethuram, Hemant Kanakia, Ravi Trivedi",Seed Funding,2.21
19-05-2015,Chaayos,Offline Tea Chain,,New Delhi,Tiger Global Management,Private Equity,8.2
19-05-2015,Akosha,Business Messaging App,,New Delhi,Sequoia Capital,Private Equity,131.18
19-05-2015,Cooey,Health Mobile App,,Bengaluru,Subhash Goyal,Seed Funding,3.85
19-05-2015,MeetUniv,Online Ed-Tech Platform,,Noida,Peesh Venture Capital,Seed Funding,8.2
19-05-2015,Crown-it,Hyperlocal Mobile Marketplace,,Gurgaon,"Accel Partners, Helion Venture Partners",Private Equity,45.09
19-05-2015,Trucksfirst,Trucking Logistic Operations,,Gurgaon,SAIF partners,Private Equity,81.99
20-05-2015,Lookup,B2C Messaging App,,Bengaluru,Biz Stone,Private Equity,24.6
22-05-2015,Nudgespot,Customer Engagement Platform,,Bengaluru,"Kae Capital, Anoop Goyal, Mike Shah, VA Sastry",Seed Funding,5.12
22-05-2015,EveningFlavors,Online Table Reservation,,Bengaluru,Sandiep Shrivatsava,Seed Funding,4.1
25-05-2015,ZenParent,Parents focused Web Content,,Bengaluru,i2india Ventures,Seed Funding,4.1
26-05-2015,UrbanPro,On-demand Service marketplace,,Bengaluru,Nirvana Venture Advisors,Private Equity,16.4
26-05-2015,Goodbox,On-Demand Business messaging,,Bengaluru,Manipal Group,Seed Funding,1.64
26-05-2015,Renderlogy,Online Homecor,,Hyderabad,Astarc Ventures,Private Equity,8.2
27-05-2015,Postman,API Workflow platform,,Bengaluru,Nexus Venture Partners,Seed Funding,8.2
27-05-2015,Casa2inns,Affordable Hotel Booking Online,,New Delhi,"Accel Partners, Kalaari Capital",Private Equity,41
27-05-2015,FleetRover,Logistics Intelligence,,Goa,"Tim Chen, Sanjay Venkat",Seed Funding,1.48
28-05-2015,TheKarrier,Last Mile Logistics,,Bengaluru,"Sol Primero, Outbox Ventures, Nikunj Jain",Seed Funding,1.97
28-05-2015,Zoomcar,Self-driven Car rental,,Bengaluru,Sequoia Capital,Private Equity,41
30-05-2015,Ather Energy,Electric Scooter Manufacturer,,Bengaluru,Tiger Global,Private Equity,98.39
01-06-2015,Veeba Foods,Healthy Food Manufacturer,,New Delhi,"DSG Consumer Partners, Saama Capital.",Private Equity,49.19
01-06-2015,Truebil,Used Car Marketplace,,Mumbai,"Kae Capital, Anupam Mittal",Seed Funding,4.1
01-06-2015,Meritnation,Online Learning Platform,,New Delhi,InfoEdge,Private Equity,32.8
01-06-2015,Eattreatonline,Healthy Food Online Community,,New Delhi,Group of 15 Angel Investors,Seed Funding,2.87
01-06-2015,Glamrs,Online Fashion Video Portal,,Mumbai,"Ventureworks India, Blume Ventures, Batlivala & Karani Securities, Nikunj Jhaveri",Private Equity,8.2
01-06-2015,Proviera,Probiotic Technology Products Manufacturer,,Chennai,Infuse Ventures,Private Equity,4.51
01-06-2015,Arth DesignBuild,Architectural Design & Consulting,,Hyderabad,Srinivas Tirupati,Seed Funding,4.1
02-06-2015,Saama,Big Data & Analytics Services,,Pune / US,Carrick Capital Partners,Private Equity,286.96
02-06-2015,AllIzHealth,Preventive Healthcare Services,,Pune,Mumbai Angels & Other angel investors,Seed Funding,2.87
03-06-2015,Propstack,Real Estate Intelligence Platform,,Mumbai,DMG Information,Private Equity,24.6
03-06-2015,MyTaxiIndia,Online Car Rental Affiliates,,New Delhi,Green House Ventures,Seed Funding,0.82
03-06-2015,Arkin Net,Data Center Software platform,,Pune / US,Nexus Venture Partners,Private Equity,122.98
03-06-2015,Little Black Book Delhi,Online City & Lifestyle Guide,,New Delhi,"Rajan Anandan, Niraj Singh, Sachin Bhatia, Singapore Angel Network & Aseem Vadehra",Seed Funding,1.23
03-06-2015,iCustomadeit,Bespoke Merchandize Marketplace,,Pune,"Virendra Shahney, Dr Paresh Doshi",Seed Funding,2.05
04-06-2015,Ecom Express,Logistics Solution Provider,,New Delhi,Warburg Pincus,Private Equity,1123.26
04-06-2015,Vidooly,Video Intelligence Platform,,Noida,Bessemer Venture Partners,Private Equity,8.2
04-06-2015,Zopper,Hyperlocal Shopping App,,Mumbai,"Tiger Global, Nirvana Ventures Advisors",Private Equity,163.98
04-06-2015,Flipkart,E-Commerce platform,,Bengaluru,Morgan Stanley,Private Equity,409.95
05-06-2015,Medwell Ventures,Healthcare  Service provider,,Bengaluru,"Fidelity Growth Partners, Fidelity Biosciences",Private Equity,81.99
05-06-2015,Jugnoo,Auto Rickshaw Based Services,,Chandigarh,"Snow Leopard, Paytm",Private Equity,41
08-06-2015,Applied Solar Technologies,Off-grid Solar Power,,Mumbai,"Future Fund,Bessemer Venture, Capricorn Investment and IFC",Private Equity,327.96
09-06-2015,Clovia,Private Label lingerie E-Commerce,,New Delhi,IvyCap Ventures,Private Equity,41
09-06-2015,Swiggy,Online Food Ordering,,Bengaluru,"Norwest Venture Partners, SAIF Partners, Accel Partners",Private Equity,135.28
09-06-2015,PayMango,Mobile Commerce Platform,,Gurgaon,Group of Angel Investors,Seed Funding,1.92
09-06-2015,Teritree,Digital Marketing Services,,Bengaluru,KCL,Seed Funding,1.15
10-06-2015,Voonik,Fashion E-Commerce store,,Bengaluru,"Sequoia Capital, Seedfund",Private Equity,41
11-06-2015,AdStringO,Mobile Compression Software,,Mumbai,"Arihant Patni, Vishal Khare, Viswanath Ramachandran",Seed Funding,2.87
11-06-2015,Faircent.com,Peer to Peer Lending platform,,Gurgaon,M&S Partners Pte. Ltd,Seed Funding,2.05
12-06-2015,La Renon,Global Healthcare products,,Ahmedabad,Sequoia Capital,Private Equity,131.18
15-06-2015,Homelane,Home Furnishing Solutions,,Bengaluru,Sequoia Capital,Private Equity,409.95
15-06-2015,Shippr,Intra-City Logistics service,,Bengaluru,i2india Pvt Ltd,Seed Funding,4.1
16-06-2015,CouponRaja,Online Coupon & comparison platform,,Mumbai,"Mahesh Pratapneni, Pallab Chatterjee & others",Seed Funding,4.1
17-06-2015,MyDentist,Dental Clinic chain,,Mumbai,"LGT Group, Asian Healthcare fund, Seedfund",Private Equity,67.23
18-06-2015,Fracktal Works,3D Printer Manufacturer,,Bengaluru,Neoteric Infomatique Limited,Private Equity,24.6
18-06-2015,Hansa Customer Equity,"IT , Customer Engagement Consulting",,Mumbai,ASK Pravi,Private Equity,41
19-06-2015,Housejoy,Home services marketplace,,Bengaluru,Matrix Partners,Private Equity,32.8
19-06-2015,FundsIndia.com,Financial Services Platform,,Chennai,"Faering Capital, Foundation Capital, Inventus Capital Partners",Private Equity,90.19
20-06-2015,Cupick,Social Network for Artists,,Bengaluru,Group of Angel Investors from US/India,Seed Funding,0.98
20-06-2015,Tracxn,Startup funding platform,,Bengaluru,"Sachin Bansal, Bunny Bansal & other investors",Private Equity,81.99
21-06-2015,Holachef,Food Delivery Platform,,Mumbai,"Kalaari Capital, India Quotient",Private Equity,25.42
22-06-2015,elong,Data Driven recruitment recommendation,,Bengaluru,"Kunal Bahl, Rohit Bansal, Blume Ventures, Phanindra Sama, Raju Reddy",Private Equity,41
22-06-2015,Vidgyor,Video Advertisement Platform,,Bengaluru,AngelPrime,Seed Funding,4.1
23-06-2015,Goodservice,Mobile Chat based concierge service,,New Delhi,Sequoia Capital,Private Equity,13.12
23-06-2015,Treebo,Online Budget Hotel Booking Service,,Bengaluru,"Matrix Partners India, SAIF Partners",Private Equity,49.19
23-06-2015,EduKart,Online education marketplace,,New Delhi,"Holostik Group, YouWeCan Ventures, 500 Startups, Vijay Shekhar Sharma, Manish Kheterpal, Amit Patni",Private Equity,8.2
24-06-2015,The Porter,Logistics Tech,,Mumbai,"Sequoia Capital, Kae Capital, Anupam Mittal, Sandeep Tandon",Private Equity,45.09
24-06-2015,Retention.ai,App Analytics platform,,Bengaluru,"Mercury Fund, Anshu Sharma, Pratyush Prasanna, Robert Winters & others",Seed Funding,4.1
25-06-2015,Fusion Microfinance,Micro Finance Platform,,New Delhi,"Development finance institution Belgian Investment Company, Oikocredit",Private Equity,70.51
25-06-2015,Zinka,Freight logistics platform,,Bengaluru,"Accel Partners, Flipkart",Private Equity,49.19
26-06-2015,CreditMantri,Credit Management Services,,Chennai,"IDG Ventures India, Elevar Equity, Accion Venture Lab",Private Equity,20.5
26-06-2015,GetMyPeon,Hyperlocal Handyman Services,,Mumbai,Undisclosed investors,Seed Funding,2.05
29-06-2015,UrbanClap,Hyperlocal services marketplace,,New Delhi,"SAIF Partners, Accel Partners",Private Equity,81.99
29-06-2015,AdWyze,"Marketing ,  Advertising Automation platform",,Bengaluru,Mape Advisory,Seed Funding,8.2
29-06-2015,Zimmber,Hyperlocal Handyman Services,,Mumbai,"Naveen Tiwari, Mohit Saxena, Amit Gupta, Piyush Shah, Manish Dugar",Seed Funding,3.28
30-06-2015,Flatchat,Flat rental Mobile App,,Bengaluru,Commonfloor,Private Equity,20.5
30-06-2015,MyCFO,Wealth Management Platform,,Mumbai,Sameer Koticha,Private Equity,12.3
01-07-2015,Cloudcherry Analytics,CRM / Analytics platform,,Chennai,"The Chennai Angels, IDG Ventures India",Seed Funding,8.2
01-07-2015,HandyHome,Hyperlocal Electronics repair Service,,Mumbai,"Bessemer Ventures, Kae Capital",Seed Funding,5.17
01-07-2015,NxtGen,IT infrastructure & Data Center services,,Bengaluru,"IFC, Axon Partners, Intel Capital",Private Equity,110.69
02-07-2015,BankBazaar,Online Financial Services,,Chennai,"Amazon, Fidelity Growth Partners, Mousse Partners",Private Equity,491.94
02-07-2015,Gozoomo,Used Car Marketplace,,Bengaluru,SAIF Partners,Private Equity,41
02-07-2015,Zenatix,Internet of Things platform,,Gurgaon,"Rajan Anandan, Kunal Bahl, Rohit Bansal, Rahul Khanna",Seed Funding,1.32
03-07-2015,CultureAlley,Language Learning App,,Jaipur,Tiger Global,Private Equity,53.29
03-07-2015,Gingercrush,Custom Merchandize platform,,Ahmedabad,"Gokul Jaykrishna, Brand Capital",Seed Funding,8.2
04-07-2015,Stitchwood,Custom Furniture Marketplace,,Mumbai,"Powai Lake Ventures, Ajeet Khurana & others",Seed Funding,3.24
06-07-2015,Paper Boat,Ethnic Beverages manufacturer,,Gurgaon,"Sofina, Hillhouse Capital",Private Equity,245.97
07-07-2015,Wudstay,Budget Accommodation aggregator,,Gurgaon,"Mangroves Capital Partners, Vikas Saxena",Private Equity,24.6
07-07-2015,Liases Foras,Real Estate Rating & Analysis,,New Delhi,DMG information Asia Pacific,Private Equity,41
08-07-2015,Saavn,Music Streaming App,,Mumbai,"Tiger Global Management, Bertelsmann India, Steadview Capital, Liberty Media, Mousse Partners, Quilvest",Private Equity,819.9
08-07-2015,Flytxt,Big Data & Analytics platform,,Mumbai / Global,"Sunrise Capital GmBH, Big Data Investments B.V",Private Equity,90.19
08-07-2015,Axtria,Big Data & Analytics platform,,India / US,"Helion Venture Partners,Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock",Private Equity,245.97
08-07-2015,33Coupons,Coupon Aggregator Platform,,Kanpur,Not Disclosed,Seed Funding,0.16
08-07-2015,Hopping Chef,Online Food-Tech Platform,,Mumbai,Mirah Hospitality,Seed Funding,3.85
08-07-2015,Collectabillia,Celebrity Fashion Brand,,Bengaluru,Accel Partners,Private Equity,61.49
08-07-2015,Lendingkart,Online Finance lending platform,,Ahmedabad,"Saama Capital, Mayfield, Ashvin Chadha, Shailesh Mehta",Private Equity,81.99
08-07-2015,Lybrate,Healthcare Mobile App,,New Delhi,"Tiger Global Management, Ratan Tata, Nexus Venture Partners",Private Equity,83.63
08-07-2015,Zoomcar,Self-driven vehicle rental,,Bengaluru,"Sequoia Capital, Empire Angels, NGP",Private Equity,90.19
09-07-2015,Inshorts,News Aggregator mobile app,,Noida,Tiger Global,Private Equity,163.98
09-07-2015,Bluestone,Online Jewellery Store,,Bengaluru,"IvyCap Ventures, Accel Partners, Dragoneer Investment Group",Private Equity,132.82
10-07-2015,Infinity Assurance,Warranty Programs Service Administration,,New Delhi,Indian Angel Network,Seed Funding,4.92
10-07-2015,Footprints Education,Pre-School Chain,,Gurgaon,"LetsVenture, Kumar Bansal, Kshitij Jain",Seed Funding,5.62
10-07-2015,Loylty Rewardz,Premium Loyalty Rewards Point Management,,Mumbai,IndianIdeas.com,Private Equity,158.65
13-07-2015,Ameyo,Contact Center Software Platform,,Gurgaon,Forum Synergies PE Fund,Private Equity,41
13-07-2015,Mamagoto,Casual Dining restaurant Chain,,New Delhi,Goldman Sachs,Private Equity,81.99
14-07-2015,MySmartPrice,Online comparison engine,,Hyderabad,"Accel Partners, Helion Venture Partners",Private Equity,81.99
14-07-2015,Boxmyspace,Physical Storage warehouses,,Mumbai,"Ritesh Veera, Singapore Angel Network, Orios Venture Partners,",Seed Funding,2.46
14-07-2015,HackerRank,Tech Recruitment platform,,Bengaluru,HR Technology fund,Private Equity,61.49
14-07-2015,WickedRide,Bike Rental Platform,,Bengaluru,Undisclosed,Seed Funding,6.48
14-07-2015,WoWexpress,Tech enabled logistics platform,,Mumbai,Tamarind Family Private Trust,Seed Funding,4.1
15-07-2015,OYO Rooms,Budget Hotel Accommodation,,Gurgaon,"Softbank, Sequoia Capital",Private Equity,819.9
15-07-2015,Mobikon,Restaurant customer engagement platform,,Pune,Jungle Ventures,Private Equity,18.86
15-07-2015,Roadrunnr,Hyper local logistics platform,,Bengaluru,"Sequoia Capital, Nexus Venture Partners, Blume Ventures",Private Equity,90.19
16-07-2015,Ketto,Crowd Funding Platform,,Mumbai,"Pradyumna Dalmia, Sudhir Rao & Others",Seed Funding,5.74
17-07-2015,QuikWallet,F&B sector Mobile Payment platform,,Mumbai,Snow Leopard Technology Ventures,Private Equity,13.12
17-07-2015,Omnikart,Industrial Supplies B2B E-Commerce,,Mumbai,"Sumit Gandhi, Manish Gandhi",Seed Funding,0.82
20-07-2015,Zo Rooms,Online budget hotel chain,,New Delhi,"Tiger Global, Orios Venture Partners.",Private Equity,122.98
20-07-2015,Innoviti,Payment Solutions platform,,Bengaluru,"Catamaran Ventures, New India Investment Corporation",Private Equity,39.77
21-07-2015,Joy by nature,Organic Food E-Commerce,,New Delhi,"Mumbai Angels, Vriddhi Fund, Others",Private Equity,8.2
22-07-2015,Iqlect,Big Data & Analytics platform,,Bengaluru,Exfinity Venture Partners,Private Equity,16.4
22-07-2015,deGustibus,Fine Dining Restaurant Chain,,Mumbai,India Value Fund Advisors,Private Equity,245.97
23-07-2015,Nestaway,Luxury Rental Homes,,Bengaluru,"Flipkart, Tiger Global",Private Equity,104.54
23-07-2015,Myonsto,Online Grocers,,Ahmedabad,Jayant Bokadia,Seed Funding,2.62
23-07-2015,MedGenome,Clinical Genomics Provider,,Bengaluru,Sequoia Capital,Private Equity,163.98
23-07-2015,HolidayIQ,Travel information portal,,Bengaluru,MakeMyTrip,Private Equity,122.98
23-07-2015,Fitternity,Fitness Marketplace,,Mumbai,Exfinity Venture Partners,Private Equity,8.2
23-07-2015,Quikr,Online & Mobile classified listings,,Mumbai,"AB Kinnevik, Falcon Edge Capital, Coatue Management",Private Equity,491.94
24-07-2015,BroEx,Real Estate Broker network App,,Gurgaon,Lightspeed India,Private Equity,8.2
25-07-2015,CredR,Used Bikes Marketplace,,Mumbai,Fidelity Growth Partners,Private Equity,122.98
27-07-2015,ManageMySpa,Spa & Salon Management Software,,Hyderabad,Accel Partners,Private Equity,49.19
28-07-2015,Pepperfry,Online homecor marketplace,,Mumbai,"Goldman Sachs, Zodius Technology Fund, Bertelsmann India Investments Norwest Venture Partners.",Private Equity,819.9
28-07-2015,Flipkart.com,Online Marketplace,,Bengaluru,Steadview Capital and existing investors,Private Equity,5739.3
28-07-2015,Opinio,Hyperlocal food & grocery store,,Bengaluru,"Accel Partners, Traxcn Labs & Others",Seed Funding,10.66
28-07-2015,Zoctr,Health-Tech platform,,Mumbai,"Sandeep Parwal, Krishan Gupta & Others",Seed Funding,8.2
29-07-2015,Zimmber,Hyperlocal Handyman Services,,Mumbai,"IDG Ventures India, Omidyar Network, Sherpalo Ventures, Mohandas Pai",Private Equity,16.4
29-07-2015,trueHb,Medical Tech Instruments,,New Delhi,"Sachin and Binny Bansal, Malvinder and Shivinder Singh, Gurpreet Singh & others",Seed Funding,19.68
29-07-2015,Zovi.com / Little App,Hyperlocal Deals Marketplace,,Bengaluru,"Paytm, SAIF Partners, Tiger Global Management & others",Private Equity,409.95
29-07-2015,Swajal,Innovative Water Solutions,,Gurgaon,Abhishek Gupta,Private Equity,9.84
30-07-2015,Pipa Bella,Online Jewelry Store,,Mumbai,LionRock Capital,Private Equity,4.92
30-07-2015,Pragmatix,Business intelligence & Analytics,,Mumbai,SIDBI Venture Capital Ltd,Private Equity,19.68
30-07-2015,Droom.in,Used Vehicle Marketplace,,New Delhi,"Lightbox Ventures, Beenos",Private Equity,131.18
30-07-2015,MadRat Games,Educational Board Games,,Bengaluru,"Kunal Bahl, Rohit Bansal",Seed Funding,1.38
30-07-2015,Noodle Play,Chinese food delivery,,Mumbai,"Elliot Stechman, Gautam Sinha, Ambarish Ray",Seed Funding,1.38
31-07-2015,LazyLad,Hyperlocal Grocery App,,Gurgaon,"Jai Choi, Kiyohiro Sugashita, Hirokazu",Private Equity,4.1
31-07-2015,Prothom,Hasbro Toy Manufacturer,,Pune,Oliphabs Capital,Private Equity,16.4
31-07-2015,Bona Vita,Travel Tech,,Gurgaon,MakeMyTrip,Private Equity,41
01-08-2015,Snapdeal,E-Commerce Marketplace,,New Delhi,"Alibaba, Foxconn, Softbank",Private Equity,4099.5
01-08-2015,Ressy,Restaurant Discount app,,Pune,Mohandas Pai & others,Seed Funding,3.28
03-08-2015,Connect India,E-Commerce Logistics provider,,New Delhi,Aavishkaar,Private Equity,41
03-08-2015,OYO Rooms,Budget Hotel accommodation brand,,New Delhi,"SoftBank Group, Greenoaks Capital, Sequoia Capital, Lightspeed India",Private Equity,819.9
03-08-2015,Wizrocket,User Engagment & Analytics platform,,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,78.71
04-08-2015,Pickingo,On-Demand Delivery Logistics,,New Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,10.66
05-08-2015,Grex,fund raising platform for startups,,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Seed Funding,5.33
05-08-2015,LetsTransport,Logistics Tech Platform,,Bengaluru,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed Funding,10.66
05-08-2015,Zo Rooms,Online budget hotel chain,,New Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,245.97
