date,startup,vertical,subvertical,city,investors,round,amount
21-04-2017,Video Ken,Consumer Internet,Video Based Collaborative Learning,Bengaluru,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi",Seed Funding,8.2
24-04-2017,Faasos,Food & Beverages,QSR chain and online food delivery,Pune,"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments",Private Equity,51.65
24-04-2017,OYO Rooms,Consumer Internet,Branded Budget Hotels Aggregator,Gurgaon,"SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",Private Equity,2049.75
24-04-2017,Toppr,Consumer Internet,Learning mobile app for students,Mumbai,WGG International,Private Equity,26.24
25-04-2017,The Office Pass,Consumer Internet,CoWorking Spaces booking platform,Gurgaon,"Arun Tadanki, Aditya Verma",Seed Funding,2.01
25-04-2017,UrbanClap,Consumer Internet,Mobile Services Marketplace,Gurgaon,Trifecta Capital,Private Equity,25.42
26-04-2017,Awfis,Consumer Internet,Collaborative co-Working Spaces,Mumbai,Sequoia India,Private Equity,163.98
26-04-2017,Flytxt,Technology,Customer data analytics software,Mumbai,DAH Beteiligungs GmbH,Private Equity,90.19
26-04-2017,Howdy Ventures,Consumer Internet,Public and Private Events creation app,Chennai,S. Xavier Britto,Seed Funding,12.3
26-04-2017,StalkBuyLove,E-Commerce,Online fashion marketplace,New Delhi,Trifecta Capital,Private Equity,8.2
27-04-2017,Scootsy,Consumer Internet,On-Demand Food Delivery,Mumbai,"Agnus Capital, Khattar Holdings",Private Equity,29.52
27-04-2017,iNurture,Consumer Internet,Online Educational courses,Bengaluru,BlackSoil Capital Pvt. Ltd,Private Equity,12.3
28-04-2017,Sepalika,Consumer Internet,Healthcare related content platform,New Delhi,Accel Partners,Seed Funding,6.15
01-05-2017,Ace2three,Consumer Internet,Online Rummy playing Website,Hyderabad,Clairvest Group,Private Equity,604.27
01-05-2017,Power2SME,E-Commerce,Buying portal for SMEs,Gurgaon,International Finance Corporation,Private Equity,81.99
02-05-2017,Innovapptive,Technology,Enterprise Mobility Solutions,Hyderabad,Hyderabad Angels,Seed Funding,12.3
02-05-2017,4tigo,Logistics,Truck Network company,Bengaluru,"Accel Partners, Nandan Nilekani,",Private Equity,81.99
02-05-2017,ZippServe,Consumer Internet,Real estate risk assessment platform,Bengaluru,undisclosed investors,Seed Funding,3.2
03-05-2017,Ola,Consumer Internet,Cab Aggregation App,Bengaluru,"Falcon Edge Capital, Capital Advisers",Private Equity,856.8
03-05-2017,Sumeru,Technology,Software & Mobile development services,Bengaluru,undisclosed investors,Seed Funding,8.2
